GENDER,AGE,NETMONTHLYINCOME,Credit_Score,num_times_delinquent
M,48,51000.0,696,11
F,23,19000.0,685,0
M,40,18.0,693,9
M,34,10000.0,673,0
M,48,15000.0,753,0
M,35,30000.0,703,0
M,30,27000.0,676,3
F,39,18000.0,658,3
M,28,18000.0,705,0
M,27,20000.0,685,0
F,57,30000.0,682,0
M,30,55000.0,669,1
M,39,25000.0,687,0
M,27,30000.0,692,0
M,44,25000.0,643,0
M,30,30000.0,678,0
M,33,32000.0,682,0
M,31,28000.0,691,0
M,31,48000.0,720,8
M,25,65000.0,669,1
F,35,64000.0,699,1
M,24,15000.0,678,0
M,21,16000.0,689,0
M,22,30000.0,702,0
M,21,35000.0,677,0
M,28,20000.0,660,10
F,30,10000.0,685,0
F,37,25000.0,740,1
M,33,50000.0,678,0
M,22,50000.0,671,4
M,52,21000.0,638,0
M,41,18000.0,689,0
M,25,15000.0,663,0
M,25,12000.0,692,0
M,26,30000.0,693,0
F,30,25000.0,678,0
M,38,55000.0,705,0
M,57,40000.0,657,0
M,48,25000.0,693,0
M,25,25000.0,672,0
M,31,15000.0,663,0
F,25,18500.0,673,0
M,52,13000.0,662,4
M,31,45000.0,659,4
M,25,20000.0,651,1
M,51,12000.0,679,0
F,25,18000.0,655,2
M,24,18000.0,664,0
M,26,17000.0,691,0
M,33,25000.0,671,5
M,34,30000.0,660,5
M,27,16000.0,660,4
M,23,15000.0,655,0
M,34,35000.0,654,0
M,53,20000.0,690,0
M,28,15000.0,679,0
F,28,10000.0,673,1
M,43,28000.0,694,0
M,26,20000.0,675,0
M,30,51000.0,670,0
F,32,20000.0,684,0
M,35,15000.0,687,0
F,38,7000.0,684,0
M,30,25000.0,697,0
M,28,25000.0,672,0
F,34,30000.0,673,0
M,47,20000.0,688,0
M,29,20000.0,695,0
M,32,20000.0,686,0
M,31,40900.0,618,2
M,41,65000.0,707,0
F,45,20000.0,678,1
M,38,10000.0,697,0
M,26,20000.0,710,0
M,27,15500.0,684,0
M,27,50000.0,699,0
M,55,13000.0,684,0
M,26,20000.0,672,2
F,29,15000.0,698,0
M,43,19000.0,679,0
M,32,9000.0,685,0
M,34,14500.0,691,0
M,35,33000.0,647,1
F,29,10000.0,679,0
M,31,54000.0,660,0
M,63,8500.0,694,0
M,26,25000.0,682,1
M,39,25000.0,693,0
M,35,43000.0,647,1
M,29,20000.0,684,0
M,38,12.0,680,0
F,35,40000.0,686,0
M,41,23000.0,687,18
M,28,30000.0,693,1
M,23,18000.0,692,0
M,33,40000.0,675,14
M,27,35000.0,697,1
M,46,25000.0,703,0
M,33,38500.0,695,0
M,25,34200.0,668,0
F,41,10000.0,662,4
M,30,24000.0,662,4
M,32,19000.0,659,0
M,24,11500.0,678,0
M,45,14300.0,720,4
M,26,15000.0,685,0
M,42,80000.0,678,0
M,31,25000.0,692,0
F,37,45000.0,668,16
M,49,28000.0,690,0
M,35,35000.0,690,14
M,21,30000.0,677,0
M,36,15000.0,666,13
M,22,23000.0,638,0
F,47,20000.0,693,0
M,32,32000.0,665,4
M,31,15000.0,688,0
M,39,25000.0,677,0
M,25,25000.0,681,0
F,46,28000.0,679,0
M,36,25000.0,679,0
M,42,27000.0,673,0
M,48,15000.0,677,0
M,54,21000.0,746,0
M,33,28000.0,676,0
M,32,20000.0,693,0
M,21,28000.0,688,0
M,31,17002.0,663,3
M,35,20000.0,652,1
M,45,20000.0,694,0
M,23,15500.0,676,0
M,26,17000.0,685,0
M,21,25000.0,648,0
M,46,27000.0,630,0
M,30,50000.0,694,0
M,35,18000.0,664,9
M,33,30000.0,671,0
M,21,25000.0,635,1
M,27,12000.0,685,0
M,25,15000.0,682,0
M,44,30000.0,708,0
M,33,15000.0,683,0
M,28,9000.0,703,0
M,43,30000.0,720,0
M,27,24500.0,646,4
M,25,35000.0,669,0
M,25,18326.0,686,0
M,26,14000.0,686,0
M,23,12000.0,669,0
M,32,36000.0,682,0
M,36,35000.0,689,0
M,24,20000.0,671,0
M,39,29000.0,694,0
M,33,33000.0,665,2
M,33,20000.0,673,2
M,38,45000.0,706,0
M,27,55000.0,698,0
M,52,25000.0,715,0
M,23,19000.0,665,2
M,41,20000.0,704,0
M,38,20000.0,698,0
M,43,20000.0,716,0
M,24,11000.0,673,2
M,39,20000.0,659,0
M,31,20000.0,664,3
M,47,25000.0,691,1
M,48,15000.0,680,1
M,64,60000.0,707,0
M,24,30000.0,681,0
M,33,15000.0,623,1
M,26,25000.0,673,0
F,34,15000.0,672,11
M,44,40000.0,685,0
M,39,40000.0,670,0
M,27,35000.0,691,0
M,29,15000.0,699,0
M,25,48000.0,684,2
M,31,25000.0,658,0
F,44,13000.0,670,2
M,32,25000.0,679,0
M,30,60000.0,686,0
M,34,32000.0,700,0
M,32,35000.0,672,7
M,37,30000.0,681,0
M,31,30000.0,693,0
M,43,65000.0,684,0
M,33,12000.0,691,1
M,28,45000.0,691,0
M,25,20000.0,659,0
M,35,45000.0,718,0
M,30,45000.0,685,0
M,23,52000.0,652,0
M,30,35000.0,689,0
M,38,20000.0,678,0
M,23,19000.0,669,0
M,32,25000.0,706,0
M,38,28000.0,709,0
M,34,28000.0,676,13
M,21,24000.0,648,1
F,29,18000.0,659,1
M,22,11000.0,685,0
M,27,22000.0,695,0
M,24,45000.0,639,0
M,27,35000.0,676,0
M,37,25000.0,668,0
M,26,28000.0,686,0
F,24,20000.0,686,0
F,36,22000.0,666,0
M,55,25000.0,700,6
F,32,20000.0,680,0
M,32,21000.0,667,0
F,41,13500.0,693,0
M,46,15000.0,683,0
M,23,18000.0,672,0
M,27,21000.0,678,0
M,29,19000.0,710,0
M,23,20500.0,658,3
M,30,25000.0,668,0
M,43,14500.0,699,0
M,39,25000.0,675,0
F,22,30000.0,665,0
F,34,16000.0,682,0
M,46,23800.0,677,18
F,48,18000.0,689,14
F,22,16400.0,649,0
M,43,28000.0,698,2
M,25,17000.0,675,0
M,35,35000.0,703,0
M,46,59000.0,664,8
M,26,9653.0,690,0
M,23,44000.0,691,0
M,29,31000.0,684,0
M,43,40000.0,684,0
M,37,29000.0,673,0
M,30,12000.0,674,0
M,36,30000.0,700,1
M,38,48000.0,707,0
M,32,28000.0,667,0
M,27,14000.0,683,0
M,27,15000.0,658,0
M,31,20000.0,668,0
M,33,28000.0,687,0
M,34,58000.0,708,22
M,22,12000.0,693,0
F,49,25000.0,689,5
M,37,75000.0,651,0
M,28,25000.0,674,10
M,42,32000.0,721,0
M,42,28000.0,714,2
M,47,26000.0,683,0
M,56,26000.0,675,0
M,44,40000.0,696,0
M,54,20000.0,684,3
M,28,15000.0,658,0
M,34,30000.0,671,0
M,29,18000.0,680,1
M,30,25000.0,650,1
M,30,20000.0,659,1
M,31,20000.0,677,0
M,46,95000.0,677,0
